  0.415432168  0.361433539  0.431182704  0.45230565  0.398383941  0.502313777
  0.57483622  0.519033044  0.741008192  0.810556615  0.745693089  1.21623173
  1.18261629  1.09507418  2.01681022  1.69375265  1.56432897  3.22128206
  2.32887875  2.13195419  4.87628486  3.06311442  2.76966354  6.99135621
  3.87028537  3.44849233  9.46431924  4.72300437  4.1303474  11.8700509
  5.5706663  4.7438496  14.0996511  6.30058776  5.16785617  16.0093625
  6.77132102  5.3620147  17.8610566  7.0180053  5.40876512  19.6033008
  7.1379298  5.37508824  21.1128822  7.18603449  5.29744541  22.9528464
  7.19136307  5.19626235  24.3603652  7.17033094  5.08371975  25.4429804
  7.1346929  4.96732876  26.7421622  7.08933585  4.85175398  29.4839855
  7.03991591  4.73984421  31.6016665  6.98736654  4.6332712  31.5704027
  6.93697781  4.53293788  34.0507721  6.88880574  4.43924717  33.0743172
  6.8423664  4.35228042  41.3902095  6.79965811  4.27191662  40.4103135
