  0.797950842  0.678886071  0.842603625  0.869169993  0.744849004  0.966463015
  1.09949489  0.954859938  1.37475695  1.52378445  1.3320451  2.16152484
  2.16473969  1.88412872  3.43703149  3.01514604  2.59237101  5.28740967
  4.04810577  3.41927651  7.75863321  5.22658517  4.32630396  10.8479467
  6.51656144  5.27683757  14.4098497  7.88154591  6.22702486  17.8684412
  9.25395899  7.09422176  20.9964491  10.4809506  7.73709539  23.6210562
  11.3522449  8.08142689  26.113397  11.8667582  8.2022554  28.4230191
  12.1525564  8.19238269  30.4178466  12.3032404  8.11146739  32.8288832
  12.3731739  7.99395091  34.6848569  12.3935524  7.85973828  36.0978963
  12.3853662  7.7204936  37.9862516  12.3580982  7.58307872  41.4211897
  12.3217761  7.45146646  44.2190238  12.2797823  7.32785921  44.2923183
  12.2369962  7.21335669  47.577848  12.1963554  7.10837322  46.2161342
  12.1573648  7.01289948  57.0801953  12.1231517  6.92666997  55.8382511
