  0.667094073  0.495281744  0.639580677  0.701558029  0.526412075  0.717008179
  0.808451305  0.620835694  0.962457667  0.994203275  0.779107666  1.40888961
  1.26047282  0.99669341  2.09297759  1.60084366  1.26319481  3.04312277
  2.00461989  1.56526834  4.27569773  2.45977322  1.89092401  5.79143405
  2.95568428  2.22995599  7.58889297  3.48235115  2.57166332  9.44163011
  4.02434237  2.8977078  11.6021813  4.54708953  3.1770751  13.4486976
  5.00461123  3.39117824  15.9528893  5.38936446  3.55220673  18.5038444
  5.72443321  3.67772497  20.3743263  6.02538527  3.77990015  24.4001977
  6.30317555  3.86644472  27.4284247  6.56487294  3.94237291  27.3851379
  6.81450616  4.01106655  31.1338124  7.05221411  4.07487166  40.2547534
  7.28475582  4.13544663  48.6387234  7.50901503  4.19397757  40.5814336
  7.73447308  4.25131848  45.0269281  7.95425173  4.30808588  42.3468161
  8.16867038  4.36472451  64.8027125  8.38093299  4.42155371  67.0083086
